Team,Catcher,Infield,Outfield,Pitching,Wins,All_in,Believers,One_foot_in,Skeptics,ISA,Playoff(binary),Rated,Totalpayroll,StTotalPayroll,LogTotalpayroll,RatedWithZero,Analytics_staff,Research_staff,PECOTA,Zips,Bleacher,Steamer,Dav,TeamRankings,Prev_Wins,Highest_pick,Number_of_picks
Arizona Diamondbacks,6656912,19151915,20013083,63679718,82,0,0,0,1,1,0,,109501628,0.45,18.51,0,2,6,88,86,89,81,83,85,93,39,2
Atlanta Braves,8646782,24788034,16603850,23528899,90,0,0,0,1,1,1,2,73567565,-0.52,18.11,2,1,5,76,79,74,73,71,75,72,49,1
Baltimore Orioles,1965912,26221242,18850873,22653380,47,0,1,0,0,3,0,,69691407,-0.62,18.06,0,1,1,71,77,70,76,79,72,75,11,2
Boston Red Sox,3375000,22615270,19284000,98931510,108,1,0,0,0,4,1,5,144205780,1.39,18.79,5,0,4,88,90,90,93,94,91,93,26,2
Chicago Cubs,1218928,40419610,30013567,80440852,95,1,0,0,0,4,1,1,152092957,1.61,18.84,1,0,5,91,94,93,96,96,93,92,24,4
Chicago White Sox,8155740,17142330,9730392,21663080,62,0,0,1,0,2,0,,56691542,-0.98,17.85,0,1,2,71,68,73,65,65,71,67,4,2
Cincinnati Reds,4794960,34560474,5678100,37477765,67,0,0,0,1,1,0,,82511299,-0.28,18.23,0,1,4,74,74,73,71,70,74,68,5,3
Cleveland Indians,7746233,26036932,17448768,53771946,91,1,0,0,0,4,1,2,105003879,0.33,18.47,2,0,4,96,94,103,96,102,95,102,29,4
Colorado Rockies,4785326,49715449,31433284,45279109,91,0,0,0,1,1,1,2,131213168,1.04,18.69,2,0,2,78,82,91,79,85,80,87,22,2
Detroit Tigers,2747820,1655860,7764821,36879015,64,0,0,0,1,1,0,,49047516,-1.18,17.71,0,2,2,68,68,61,70,66,67,64,1,2
Houston Astros,20140988,23232682,32622720,82245770,103,1,0,0,0,4,1,3,158242160,1.77,18.88,3,0,5,99,95,103,100,94,97,101,28,2
Kansas City Royals,8957840,5557520,20963788,48139080,58,0,1,0,0,3,0,,83618228,-0.25,18.24,0,0,4,66,69,59,71,70,68,80,18,5
Los Angeles Angels,767660,12335450,59107803,19158170,80,0,0,1,0,2,0,,91369083,-0.04,18.33,0,1,1,79,85,88,83,82,83,80,17,2
Los Angeles Dodgers,8777300,24820501,31674339,95230456,92,0,1,0,0,3,1,4,160502596,1.84,18.89,4,0,1,97,95,99,95,96,95,104,68,1
Miami Marlins,4055290,12957182,4589960,21431082,63,0,0,0,0,0,0,,43033514,-1.35,17.58,0,0,0,65,64,62,64,62,64,77,13,3
Milwaukee Brewers,1090430,13734493,43123154,31940762,96,0,0,1,0,2,1,3,89888839,-0.08,18.31,3,0,4,84,85,85,80,87,84,86,21,3
Minnesota Twins,840500,28224363,1632430,23557080,78,0,0,0,1,1,0,,54254373,-1.04,17.81,0,0,1,81,85,86,83,85,83,85,20,2
New York Mets,1240901,34485130,12345461,34583711,77,0,1,0,0,3,0,,82655203,-0.27,18.23,0,0,1,80,80,80,84,78,82,70,6,2
New York Yankees,1992890,14972769,16176465,89868705,100,1,0,0,0,4,1,2,123010829,0.82,18.63,2,0,4,97,92,95,94,91,95,91,23,2
Oakland Athletics,7492900,10483700,9156111,23892946,97,1,0,0,0,4,1,1,51025657,-1.13,17.75,1,0,3,76,76,72,78,76,75,75,9,3
Philadelphia Phillies,4547844,32397603,5417376,54653524,80,0,0,0,0,0,0,,97016347,0.12,18.39,0,0,1,81,81,73,77,80,78,66,3,1
Pittsburgh Pirates,11346140,21765040,13988433,20476802,82,1,0,0,0,4,0,,67576415,-0.68,18.03,0,0,7,77,75,69,76,78,74,75,10,2
San Diego Padres,1882210,30251140,6413100,11623347,66,0,1,0,0,3,0,,50169797,-1.15,17.73,0,0,2,73,73,65,72,59,72,71,7,3
San Francisco Giants,2605480,49142250,19549488,48392000,73,0,0,1,0,2,0,,119689218,0.73,18.6,0,0,0,82,83,80,81,79,83,64,2,2
Seattle Mariners,3710430,55059062,4439196,59355975,89,0,0,1,0,2,0,,122564663,0.81,18.62,0,0,0,82,78,75,78,87,82,78,14,2
St. Louis Cardinals,20825800,28037811,9946390,55181328,88,1,0,0,0,4,0,,113991329,0.58,18.55,0,0,0,85,87,87,87,87,86,83,19,3
Tampa Bay Rays,1115450,2721590,10841926,8690022,90,1,0,0,0,4,0,,23368988,-1.88,16.97,0,2,2,83,76,71,76,74,76,80,16,5
Texas Rangers,2578160,38819983,3561460,31179413,67,0,0,1,0,2,0,,76139016,-0.45,18.15,0,1,4,75,75,78,77,81,76,78,15,2
Toronto Blue Jays,20778150,13389341,6826450,29299406,73,0,1,0,0,3,0,,70293347,-0.61,18.07,0,1,2,80,80,82,84,81,80,76,12,2
Washington Nationals,11294030,28383131,30973710,59547108,82,0,1,0,0,3,0,,130197979,1.01,18.68,0,0,4,89,89,104,92,92,92,97,27,2
